iter	Passed	Remaining
975	35616	875
976	35643	839
977	35676	802
978	35715	766
979	35756	729
980	35794	693
981	35844	657
982	35879	620
983	35940	584
984	36011	548
985	36057	511
986	36093	475
987	36125	438
988	36156	402
989	36189	365
990	36229	329
991	36268	292
992	36305	255
993	36344	219
994	36385	182
995	36420	146
996	36458	109
997	36501	73
998	36579	36
999	36620	0
